OTU,V41,V42,V43,V45,V44,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V93,V94
OTU4264,1.074113856,0,0,0,0,0,5.115089514,0,0,0,2.604166667,0,0,0,0,0,0,0,0,0,0,0,0,0,2.400960384,7.556675063,0,4.016064257,0,0,0,0,0.989119683,0,0,1.6,0,0,0,0,6.369426752,5.681818182,5.780346821,0,3.344481605,0,0,0,0,0,0,0,0
OTU1523,3.222341568,3.32963374,0,0,1.179245283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU4374,1.074113856,0,0,0,0,0,0,0,0,0,5.208333333,1.831501832,0,0,0,0,0,0,0,0,0,0,0,16.18122977,4.801920768,2.518891688,1.404494382,0,0,0,0,2.463054187,0,0,0,0,0,1.438848921,0,0,0,0,0,0,0,0,4.341534009,2.789400279,3.649635036,0,0,0,0
OTU3682,3.222341568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2172949,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU4221,2.148227712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU4180,1.074113856,0,0,0,0,2.096436059,0,0,0,1.594896332,2.604166667,3.663003663,17.45200698,4.807692308,8.169934641,6.83994528,0,2.409638554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.369668246,0,0,0,0,0,0,0
OTU266,1.074113856,0,0,0,0,0,0,0,0,0,0,1.831501832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3892,2.148227712,0,0,0,0,0,1.278772379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.618122977,14.4057623,17.63224181,0,20.08032129,1.443001443,0,0,0,1.978239367,0,0,0,4.524886878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3566,4.296455424,4.439511654,1.499250375,0,0,0,7.672634271,0,0,0,0,0,0,0,0,0,0,0,0,3.105590062,0,6.696428571,0,3.236245955,3.601440576,5.037783375,1.404494382,12.04819277,0,18.25293351,3.236245955,39.408867,6.923837784,5.042016807,1.366120219,8,0,2.877697842,2.247191011,4.4345898,0,1.420454545,5.780346821,0,0,0,0,0,0,0,0,0,0
OTU2185,1.074113856,15.53829079,1.499250375,3.65630713,4.716981132,7.337526205,1.278772379,0,2.493765586,0,2.604166667,5.494505495,76.78883072,16.82692308,0,9.575923393,1.769911504,0,0,3.105590062,4.474272931,0,0,1.618122977,7.202881152,5.037783375,8.426966292,14.0562249,0,2.60756193,12.94498382,3.694581281,0,0,4.098360656,0,0,2.877697842,1.123595506,0,2.123142251,4.261363636,1.445086705,0,3.344481605,2.369668246,7.235890014,2.789400279,12.16545012,1.526717557,12.13592233,0,0
