"phylum_name","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94"
"Abditibacteriota",9.35578722266774,7.05142944738254,0,6.89655172413793,2.34192037470726,1.87529301453352,8.77282464551668,5.07471102340006,0.496565422494414,6.44892864572498,8.88324873096447,8.04623753399819,2.90697674418605,3.35725862468164,7.8740157480315,1.24164278892073,8.47318196775255,6.97232199450666,9.06949352179034,3.67286973555338,5.59207299126852,5.98690364826941,2.05053094104724,7.02945097563932,6.91394176020823,1.11607142857143,7.37939304492206,6.61745991346399,3.00080509404962,7.21826220337454,2.50988266298551,2.45398773006135,0.803320390949257,5.8443076443544,0.707642539425799,8.2771896053898,4.2233209723939,4.55022751137557,3.0857848179387,2.08827717133365,2.98210735586481,3.45735923608825,6.12344872632266,4.24116424116424,2.41837968561064,2.49925617375781,11.6970658207772,11.2127851527259,13.6532557763774,0,6.87062483795696,2.3537323470074,2.59857643204158
"Acidobacteriota",478.125278446048,803.709665057101,618.986647155661,594.973699590883,899.414519906323,636.896390060947,466.1838212792,836.481533690443,1008.68989489365,593.405450384855,577.122750346101,275.271985494107,213.90503875969,775.06367214633,400.20540910647,638.013371537727,572.639025995393,468.835833509402,494.228504122497,608.71694417238,463.455312469342,330.21515434986,1168.94910289271,721.124712156102,553.196681307955,776.339285714286,573.378839590444,634.767116314584,766.8154870819,562.573310475503,416.264039656146,808.588957055215,691.524969875485,641.938751655887,1327.84067933684,504.716073147257,1027.40008240626,754.404386886011,637.728862373997,585.571903179877,537.152087475149,253.04576885084,340.545395166558,714.511434511434,320.032245062475,897.411484677179,435.699180544541,401.98479185462,317.983519146874,980.577518047439,705.729841845994,897.948890383322,854.818664557677
"Actinobacteriota",1503.60866078589,1410.05595155975,1589.35430766417,1381.18059614261,842.505854800937,1045.24144397562,1990.61511782108,1244.14998590358,1363.56865016966,1805.28396089037,1945.20073834795,1945.37624660018,2216.40826873385,1784.90391294281,1856.8983224923,1937.44030563515,1445.12997696611,1906.82442425523,1984.21672555948,1354.79921645446,1633.08152653782,1933.395696913,1313.51153423654,1062.17428190522,1707.90629575403,1439.50892857143,1592.38077668112,2617.58717230848,1313.8402986167,1580.97987909411,1655.14212210579,1189.81595092025,997.723925558977,1510.94833632042,1526.68823291549,1523.19538017324,1744.43757725587,1897.21152724303,922.341082081876,1672.23540579022,1140.90457256461,1578.36680935133,1630.14369693011,1344.61538461538,1349.0528012898,1360.190419518,1675.98466825271,2242.87923701508,1695.10421715948,892.059126847714,1189.65517241379,1077.75722932078,1220.31408880353
"Armatimonadota",25.5724850752918,25.9829845941596,13.7186756905067,28.8720046756283,16.7447306791569,17.8152836380685,13.9753136794859,13.062682078752,15.559049904825,4.05658414811733,18.86248269497,42.7243880326383,4.92571059431525,21.3012271359111,15.405682985279,9.55109837631328,20.6482395524844,26.3046693429115,21.6725559481743,10.2840352595495,11.0860394388306,22.8250701590271,30.1720981325522,28.7237910556296,16.7561412070929,11.2723214285714,17.4338160686284,18.198014762026,23.5672985435117,15.4290354597131,14.369078245592,9.4478527607362,10.7109385459901,23.6889269851165,17.691063485645,42.4446583253128,22.2496909765142,16.9175125422938,8.33161900843448,9.8718557190318,2.11232604373757,11.0306223246625,5.71521881123449,17.5467775467775,0.806126561870215,14.3409699494198,20.2220459952419,14.1770846758603,20.2779124252706,17.5317978686834,14.3894218304382,11.2642905178211,21.5794825443453
"Bacteroidota",601.443464314354,448.608875603587,480.519480519481,572.180011689071,380.093676814988,431.082981715893,565.949199224727,386.80575133916,243.068774311015,586.020386935719,762.40193816336,915.911151405258,1114.90633074935,465.964343598055,631.461828141048,434.479465138491,519.66107272129,542.784703148109,415.547703180212,687.561214495593,557.04895516531,712.44153414406,298.645184913951,608.411101684644,497.6411257524,312.5,654.18319343234,297.785696105879,359.657469077069,720.02165478661,676.915354207191,354.355828220859,363.636363636364,549.598690875088,277.19369187222,927.237728585178,606.407086938607,628.281414070704,421.82678461222,473.469387755102,403.702783300199,576.720447810339,769.105160026127,386.943866943867,639.661426844016,388.396310621839,671.358710018504,663.358680242299,876.474390046857,258.679958748711,372.18045112782,288.500336247478,319.850864309118
"Bdellovibrionota",18.8897799162434,23.6836054265348,20.8523870495702,20.8065458796026,8.5480093676815,18.2841068917018,15.7094766908089,14.0024433793816,32.1112306546387,26.5238194299979,78.5071527457314,31.844968268359,70.655684754522,38.782125492012,23.3652858610065,31.6141356255969,33.6459361632116,26.6215930699345,24.263839811543,31.9539666993144,30.6092416364171,26.3797942001871,40.0585865983156,32.4809114046782,35.7084756791931,30.1339285714286,17.8027857208745,21.3794858742683,39.5959891678255,40.0613552287287,41.2248227395369,37.4233128834356,48.1992234569554,50.494818047222,24.4642135058633,14.8219441770934,18.6444169756902,20.7677050519193,38.1608722485085,38.1585192216421,32.927435387674,47.0859400724399,36.0058785107773,24.1164241164241,21.7654171704958,24.0999702469503,36.8094105207507,45.1089057868282,106.075294878009,26.1258164317635,29.94555353902,24.6301277740417,16.9472376002712
"Chloroflexi",153.524013187205,144.247719782325,97.3111395646607,249.561659848042,320.023419203747,167.1354899203,107.008058757523,140.118409923879,206.571215757676,152.693987934263,228.426395939086,190.276518585675,66.0529715762274,104.190784903913,104.501882916809,102.101241642789,134.666008555446,127.931544474963,157.597173144876,159.892262487757,167.860296281762,103.274087932647,276.821677041377,302.629984244334,113.469985358712,110.714285714286,163.453555945024,92.6444387884958,131.669472297446,100.153388071822,86.2144694735521,80.6134969325153,72.432721917258,122.184991817969,137.687019813991,104.042348411935,47.7956324680676,88.6711002216778,117.671261057396,121.974371143806,87.4751491053678,117.879486335199,122.877204441541,220.04158004158,130.99556630391,283.30853912526,151.599259846683,146.797267689135,66.7312974632412,175.489859058096,140.91262639357,182.246133154001,207.208225059315
"Crenarchaeota",24.2359440434821,66.5287039166092,55.6063654655204,13.3255406195207,29.1569086651054,53.4458509142054,17.8516780577374,29.0386241894559,82.2643383265745,36.1972123985854,29.9377018920166,49.8640072529465,38.4366925064599,43.4128270432971,73.2625813077713,69.3409742120344,17.0286278381046,59.0534544686246,28.6219081272085,10.0391772771792,1.27538506818405,0,111.753936287074,22.3003272330627,30.8280462013991,14.9553571428571,75.3620514712665,32.4510053448715,19.761399399839,4.60164215465127,4.01581226077681,13.9877300613497,7.63154371401794,35.6892386815242,34.8766680145572,16.8431183830606,8.34363411619283,8.98378252245946,10.1830898991977,27.1476032273374,35.5367793240557,6.75008231807705,9.22599608099282,47.5675675675676,6.44901249496172,12.3177625706635,8.78932064499075,12.8882587962366,26.2562611084182,19.9381230663458,47.0572984184599,113.987895090787,45.1926336007231
"Cyanobacteria",573.108794439989,76.1094504483789,43.8997622096214,403.506721215663,121.194379391101,138.302859821847,459.757217178415,39.4699746264449,42.5391045270214,51.7994591221136,40.0323027226581,217.361740707162,19.2990956072351,66.6821023385043,62.564190345772,31.6141356255969,108.012504113195,33.4882738221001,313.074204946996,18.8540646425073,226.724222505641,475.584658559402,51.8491395093372,890.801115016362,61.9001138766878,50.1116071428571,209.574762475786,45.4314074828201,30.2276220449389,151.403049715781,52.5192947229717,52.2699386503067,14.7275405007364,63.0405984571028,9.80590376061464,827.526467757459,158.117016893284,235.445105588613,53.3840773503394,77.6459420977693,100.770377733598,43.4639446822522,82.5440888308295,31.3513513513514,47.5614671503427,12.7343052662898,128.469468675654,112.385616703183,152.124737437389,22.3444482640083,141.560798548094,6.97713517148621,8.92554513614281
"Deinococcota",6.68270515904838,3.21913083467464,1.82915675873422,8.88369374634717,1.28805620608899,3.04735114861697,19.9938794246659,0.563856780377784,0.496565422494414,10.713542750156,0,13.1459655485041,0,0,0,0,2.7147087857848,2.95795478554828,4.35806831566549,0.857002938295789,0,9.16744621141254,0.366166239472721,36.3592291843413,0.894745404262242,1.5625,2.95175721796882,0,0,1.26319588559054,0.941205998619565,0.858895705521472,0.535546927299505,4.51959791163407,0,15.2069297401347,0.412031314379893,10.3838525259596,0.411437975725159,5.3156146179402,0,0,0.326583932070542,0.498960498960499,0.806126561870215,0.119012198750372,0,0.257765175924733,33.2848602359024,0,12.9634430904848,0.420309347679892,0
