OTU_number,Kingdom,Phylum,Class,Order,Family,Genus,Species,V41,V42,V43,V45,V44,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94
OTU3686,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleomassariaceae,Prosthemium,Prosthemium_intermedium_SH1645875.08FU,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU4166,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Crocicreas,Crocicreas_tomentosum_SH1171432.08FU,210,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3468,Fungi,Ascomycota,NA,NA,NA,NA,NA,171,15,24,13,18,10,1,3,0,2,2,24,4,1,3,33,0,4,1,0,0,0,0,5,7,1,0,3,0,0,1,4,31,15,11,5,5,50,10,0,0,1,1,0,0,0,1,1,24,1,5,0,0,5
OTU3210,Fungi,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,NA,292,58,27,0,8,9,9,1,0,0,3,2,1,0,1,1,0,8,0,0,0,0,0,37,8,1,1,0,8,2,0,0,1,0,0,4,0,0,1,3,11,1,0,0,0,2,0,0,0,5,0,0,7,145
OTU4222,Fungi,Ascomycota,NA,NA,NA,NA,NA,1276,2,8,0,17,0,0,0,0,0,7,30,0,0,0,0,0,3556,6,1,0,13,0,1,5,1,4,0,2,795,28,4,0,3,0,1,1,0,0,0,3,0,8,6,1,2,0,0,2,0,0,0,0,0
OTU2762,Fungi,NA,NA,NA,NA,NA,NA,69,5,0,0,2,1,1,0,0,0,0,1,21,0,2,0,3,2,0,1,1,5,0,0,13,2,35,1,0,5,2,7,1,1,0,4,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU2133,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,unidentified,Serendipitaceae_sp_SH1547983.08FU,160,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2214,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Pochonia,Pochonia_globispora_SH1552464.08FU,21,54,20,16,214,8,3,4,0,0,1,0,0,9,4,18,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,10,0,7,8,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU897,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma_terricola_SH1649268.08FU,165,991,158,107,77,452,877,268,584,422,35,759,42,52,48,109,1617,135,70,25,39,58,118,127,163,39,121,162,181,165,488,447,616,218,243,80,145,90,152,42,159,303,180,5,214,54,176,100,399,275,352,1,51,359
OTU4050,Fungi,NA,NA,NA,NA,NA,NA,600,1100,175,124,210,1053,1119,513,897,191,275,252,265,418,723,463,165,862,291,161,228,638,273,380,630,113,1076,1029,571,847,913,821,2029,428,505,117,413,665,408,471,364,920,2898,20,814,188,361,285,456,224,137,3,32,130
OTU1393,Fungi,NA,NA,NA,NA,NA,NA,76,14,1,6,1,48,7,0,0,2,0,0,5,4,0,9,0,0,22,0,0,0,1,0,0,0,6,0,1,1,28,3,0,1,0,0,2,5,1,1,12,1,4,1,7,1,3,39,39,302,4,0,3,1
OTU3045,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,Pleosporales_sp_SH1582440.08FU,137,367,73,165,17,8,567,631,98,685,1,1,1,94,25,116,0,1,0,0,0,0,17,38,52,45,81,27,20,147,59,302,182,163,315,7,3,31,62,52,143,63,151,0,169,458,461,73,35,0,0,0,0,1
OTU3973,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA,216,3,0,1,1,5,29,4,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9,0,2,1,0,1,0,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1
OTU4188,Fungi,Ascomycota,Leotiomycetes,Helotiales,unidentified,unidentified,NA,198,460,292,67,269,336,144,58,0,18,1160,48,123,558,365,1009,22,7,138,92,146,59,18,41,125,45,446,15,35,1186,1004,19,275,67,16,3,7,20,41,18,119,27,10,19,76,133,183,389,155,9,6,0,0,2
OTU3790,Fungi,Ascomycota,Leotiomycetes,Helotiales,unidentified,unidentified,NA,171,131,42,39,34,72,169,18,20,5,3,4,10,19,8,11,26,5,7,292,18,3,6,41,21,8,29,3,15,73,209,12,111,15,5,12,16,3,25,13,54,12,1,8,65,18,192,85,298,16,52,0,7,13
OTU3235,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,NA,NA,215,241,32,6,89,148,1,0,3,1,326,48,37,23,91,77,9,53,2,9,6,11,13,190,52,13,38,47,1601,1613,1884,319,403,578,13,47,5,32,126,211,128,546,1499,1,15,20,3,33,45,445,16,0,16,43
OTU3638,Fungi,NA,NA,NA,NA,NA,NA,1030,20,1,106,16,48,43,0,33,14,2,2,27,18,0,159,5,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,144,5,1,0,0,0,0,7,244,1,70,2,29,0,0,0
OTU3105,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Drechslera,Drechslera_sp_SH1575707.08FU,920,233,77,137,213,7,1324,228,388,388,34,5,14,285,25,264,214,487,124,219,18,7,145,124,604,63,245,146,59,97,243,675,354,90,192,49,19,126,78,25,189,189,88,3,209,158,38,31,14,2,0,0,0,7
OTU2621,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,NA,NA,3,0,1,0,0,0,0,0,0,0,0,7,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3119,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,Podospora_sp_SH1650961.08FU,286,122,35,48,14,26,3,4,46,18,0,21,0,2,0,1,1,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,3,0,0,3,1,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0
OTU1308,Fungi,NA,NA,NA,NA,NA,NA,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1320,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Mycena,NA,933,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,78,0,889,1,0,0,3,7,133,2,0,2041,0,0,0,0,0,0,0,17,1,2,0,0,0,0,0
OTU3944,Fungi,Ascomycota,Leotiomycetes,Phacidiales,Phacidiaceae,Gremmenia,Gremmenia_infestans_SH1522484.08FU,721,135,54,92,61,107,236,304,19,53,2,113,5,32,304,11,2904,278,189,72,108,136,8,237,356,7,1557,80,7,108,216,97,20,355,16,144,839,177,203,7,34,13,2,0,328,205,44,7,46,6,14,0,2,9
OTU806,Fungi,NA,NA,NA,NA,NA,NA,9,4,1,0,1,5,1,8,2,3,2,0,0,4,2,0,0,0,2,0,1,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,3,1,0,0,0,0,4,8,108,18,0,0,1
OTU3575,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cercophora,Cercophora_sp_SH1615751.08FU,28,2,1,0,47,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
OTU3313,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA,242,5,0,0,52,101,2,1,0,5,0,38,3,7,0,13,225,1,0,0,8,1,0,0,8,0,1,1,0,1,0,1,0,1,0,28,0,4,0,3,0,0,2,0,1,5,2,3,52,1,0,0,0,0
OTU226,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi_sp_SH1243080.08FU,38,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3951,Fungi,Ascomycota,NA,NA,NA,NA,NA,29,65,8,14,19,60,10,42,0,4,12,143,9,20,23,29,6,5,1,0,0,0,0,0,1,0,0,0,32,29,68,171,267,51,31,1,0,2,0,0,0,0,0,0,0,1,1,0,1,20,25,1,3,37
OTU1909,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,NA,374,651,250,182,408,893,397,232,356,274,128,254,175,113,224,608,436,146,121,188,429,14,125,166,429,99,181,178,92,109,604,273,532,197,388,252,231,327,279,110,244,504,175,14,258,151,398,217,499,183,126,1,10,33
OTU3913,Fungi,Ascomycota,NA,NA,NA,NA,NA,1292,29,76,430,1380,120,166,203,22,361,27,152,19,18,146,149,139,570,108,181,55,349,0,34,272,15,174,88,7,210,220,66,121,52,38,167,33,125,198,10,301,19,280,19,371,464,161,378,168,14,19,0,14,396
OTU2572,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA,233,108,51,9,60,14,15,13,12,10,0,1,1,2,0,3,45,262,68,7,6,43,41,32,101,9,118,342,77,106,117,110,90,20,257,25,18,50,161,16,47,105,193,3,70,31,79,40,44,1,2,0,2,9
OTU3745,Fungi,Ascomycota,NA,NA,NA,NA,NA,663,830,147,218,72,357,552,311,1997,497,220,98,37,1021,423,39,117,314,437,597,113,188,51,115,258,84,452,685,398,1348,1038,377,1376,177,401,309,474,246,285,57,220,432,672,65,312,448,1292,337,219,41,15,0,1,0
OTU2766,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,unidentified,unidentified,Chaetothyriales_sp_SH1550213.08FU,8,57,6,1,4,21,5,0,2,2,0,0,0,0,0,0,8,3,2,54,5,159,6,0,8,0,0,5,1,0,3,6,12,2,0,0,0,1,1,1,1,2,3,0,12,4,8,0,3,2,3,0,0,0
OTU2989,Fungi,Basidiomycota,Tremellomycetes,unidentified,unidentified,unidentified,Tremellomycetes_sp_SH1565618.08FU,13,3,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16
OTU3972,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3608,Fungi,NA,NA,NA,NA,NA,NA,6,13,2,0,5,12,11,4,9,3,5,3,1,4,8,5,3,6,6,2,4,6,5,4,15,0,12,16,5,18,11,11,26,4,4,3,7,3,12,3,2,12,37,0,9,1,8,3,2,4,3,0,1,2
OTU3301,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,NA,400,25,26,5,133,28,0,0,0,0,1,3,1,0,0,0,0,2,0,0,0,0,0,5,6,0,10,3,2,56,1,10,12,48,1,3,2,1,0,5,2,19,17,1,13,31,13,2,57,68,0,0,0,0
OTU3970,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU4361,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA,566,145,57,139,193,345,29,3,1,3,11,18,25,5,18,40,0,1,0,4,0,0,15,18,31,1,1,1,1,1,0,0,0,2,0,1,1,5,8,18,1,16,29,26,16,4,1,1,4,164,129,0,0,0
OTU2786,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA,124,313,46,21,44,27,298,250,754,135,47,130,36,92,279,577,7,0,1,0,0,1,181,290,319,105,1153,600,136,163,179,51,112,100,768,51,823,977,128,168,110,257,241,2,96,30,135,32,55,23,15,0,0,12
OTU2904,Fungi,NA,NA,NA,NA,NA,NA,393,15,2,6,126,25,43,14,3,15,3,16,17,1,2,0,22,1212,3,0,1,178,1,156,19,10,145,4,38,97,398,16,6,12,2,304,430,92,12,5,1,4,6,3,78,22,5,33,43,488,2,0,2,1505
OTU3148,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,NA,NA,614,28,177,99,122,226,252,157,75,5,62,237,95,15,19,44,50,36,13,8,28,3,47,57,611,31,124,600,29,41,129,22,160,71,103,84,92,40,97,24,64,36,83,4,77,148,32,123,1361,64,10,0,13,77
OTU2455,Fungi,Ascomycota,Sordariomycetes,Hypocreales,unidentified,unidentified,Hypocreales_sp_SH1244566.08FU,90,408,164,55,96,454,12,14,58,6,41,4,33,11,20,67,33,13,13,3,8,0,2,4,5,0,8,6,33,18,40,52,115,17,19,3,46,19,71,5,9,8,5,1,14,24,23,41,39,242,505,0,53,207
OTU4161,Fungi,Ascomycota,NA,NA,NA,NA,NA,125,126,34,24,22,24,46,20,26,6,2,60,2,3,2,23,23,1,1,0,1,0,4,4,7,1,2,8,17,6,16,26,36,6,4,7,179,60,1,8,7,9,8,0,1,14,7,2,10,22,19,1,13,168
OTU3839,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,NA,NA,227,74,127,16,235,81,3152,250,57,1252,3,66,65,3,49,9,614,144,261,22,1,37,1,98,6,2,57,2,0,6,15,21,6,60,47,1180,41,100,1,38,19,12,12,2,402,1173,63,162,35,9,0,0,1,0
OTU2404,Fungi,NA,NA,NA,NA,NA,NA,279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU3427,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA,185,29,1,1,129,0,2,0,0,0,0,10,0,1,0,1,0,47,72,8,1,0,41,143,80,11,294,346,145,621,582,1965,147,383,390,117,32,943,56,51,216,608,1395,0,3,2,5,5,2,159,40,0,0,0
OTU2308,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,NA,239,238,60,25,42,108,27,40,5,2,4,2,2,35,114,38,32,59,8,396,87,19,20,43,101,12,306,23,210,101,999,209,171,53,6,31,25,47,23,1,1,20,4,2,12,5,26,35,16,4,22,0,0,19
OTU4399,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,NA,225,165,71,14,98,226,120,345,12,153,33,42,37,25,124,18,204,581,288,60,12,509,10,932,87,52,165,24,4,32,24,106,53,66,15,1721,845,102,24,244,10,10,4,7,101,365,125,182,98,160,4,0,4,59
OTU3206,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Ophiosphaerella,Ophiosphaerella_sp_SH1640806.08FU,459,30,56,99,81,24,20,16,12,22,25,54,9,262,100,62,213,16,59,49,67,195,0,42,6,2,70,1,5,101,222,9,46,19,7,36,135,78,446,37,151,42,200,4,61,79,32,40,4,25,41,0,6,177
OTU3452,Fungi,Ascomycota,NA,NA,NA,NA,NA,128,33,67,25,128,165,0,1,0,0,3,15,16,30,39,468,0,0,0,0,0,3,2,105,1,0,0,0,10,27,44,52,38,25,2,1,4,7,1,0,0,1,1,0,0,0,0,0,2,4,2,0,0,3
OTU4276,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Lachnum,Lachnum_sp_SH1522995.08FU,325,131,3,17,736,273,35,1834,8,50,0,27,2,26,4,0,0,0,2,0,0,0,1,1,40,0,0,12,0,5,762,3,265,11,1,0,2,1,18,5,18,8,0,0,1,4,4,4,0,0,0,0,0,0
OTU2479,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,NA,NA,77,102,30,24,28,52,206,135,95,67,0,3,56,12,72,18,0,15,18,129,8,2,0,1,3,0,0,1,80,21,84,33,98,8,4,1,0,1,20,11,4,7,2,0,30,37,20,23,44,10,36,0,11,7
OTU2764,Fungi,Ascomycota,NA,NA,NA,NA,NA,430,8,30,3,64,0,21,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,19,0,10,0,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU3334,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,NA,146,26,14,5,70,175,0,0,0,0,2,0,0,0,0,0,32,11,19,90,28,146,19,397,340,70,296,144,74,80,228,76,76,32,7,5,18,107,1,0,0,0,0,0,0,0,4,1,11,4512,63,0,11,32
OTU1954,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,NA,NA,283,410,146,98,195,366,578,376,247,288,48,124,187,103,163,316,150,93,75,421,322,27,88,145,327,71,321,341,252,177,557,189,302,107,245,123,106,129,205,122,256,529,153,15,560,248,462,297,725,278,182,0,44,107
OTU3277,Fungi,NA,NA,NA,NA,NA,NA,148,0,0,4,0,0,2213,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,2,0,6,0,0,0,0,2,7,0,0,0,0,0
OTU4368,Fungi,Ascomycota,NA,NA,NA,NA,NA,58,16,1,92,94,7,0,8,22,0,4,5,1,4,0,1,2,0,0,0,7,2,2,19,42,1,267,57,0,3,16,4,7,20,6,111,13,20,5,4,0,1,1,0,0,0,14,1,1,0,0,0,0,0
OTU3062,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA,2,1,0,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU190,Fungi,NA,NA,NA,NA,NA,NA,41,0,0,0,1,1,2,0,0,3,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,2,0,0,0,3,8,0,5,0,4,0,2,5,0,4,0,0,0,0,1,0,3,5,17,0,0,0,0
OTU3037,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA,99,439,28,8,26,85,64,61,27,34,190,79,100,27,69,281,17,4,15,70,9,1,10,17,11,2,154,25,259,110,148,111,241,166,11,2,4,1,47,4,16,132,990,1,11,14,16,14,12,14,41,0,44,144
OTU617,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA,266,1799,87,129,102,398,1105,845,688,67,19,6,6,342,83,144,490,149,241,163,68,76,110,101,318,47,441,148,258,308,414,637,661,281,509,83,58,122,165,91,92,546,811,4,134,212,346,43,221,253,118,0,32,89
OTU755,Fungi,Basidiomycota,Agaricomycetes,Boletales,Sclerodermataceae,Scleroderma,Scleroderma_verrucosum_SH1526179.08FU,277,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3847,Fungi,Ascomycota,NA,NA,NA,NA,NA,484,34,4,49,14,62,6,0,0,0,77,207,10,3,1,19,3,0,0,10,167,1,3,22,139,7,42,0,2,2,17,6,0,1,4,3,2,37,3,1,0,0,0,0,42,9,62,21,40,1,0,0,0,0
OTU1936,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium_carneum_SH1552520.08FU,194,517,160,237,144,439,411,521,301,208,105,20,218,176,136,857,492,45,69,16,326,1,73,118,219,125,159,196,110,134,316,164,501,112,430,128,264,314,519,224,234,467,122,10,185,133,535,133,199,38,99,0,28,68
OTU3927,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota_sp_SH1648816.08FU,637,53,41,1,78,56,4,7,0,0,0,1,0,1,0,0,5,20,1,1,0,38,0,16,69,2,4,0,1,6,1,7,0,9,1,2,1,2,2,1,3,7,12,2,4,8,0,16,4,0,0,0,0,0
OTU4133,Fungi,Ascomycota,NA,NA,NA,NA,NA,177,17,0,1,136,0,9,0,1,35,14,12,1,12,11,0,5,6719,10,6,0,4,0,4,20,26,164,16,10,812,198,60,348,91,17,741,8,3,25,36,16,8,26,53,350,291,15,227,69,1,0,0,0,0
OTU3213,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Neoascochyta,NA,75,2,7,0,2,21,0,0,0,1,2,229,0,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
OTU3205,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA,118,22,16,8,38,113,172,9,7,19,40,8,0,3,0,2,167,142,62,8,19,0,4,65,114,10,74,39,39,59,278,166,211,64,18,56,16,75,28,21,10,45,60,14,70,33,89,434,331,3169,14,1,5,57
OTU3704,Fungi,Ascomycota,NA,NA,NA,NA,NA,969,721,157,93,652,2236,260,123,15,190,1414,2267,890,60,959,923,945,2121,88,96,120,356,16,2974,866,69,669,41,553,543,1565,401,297,488,106,1708,244,325,772,1087,200,159,450,43,689,2578,1261,1366,1737,3031,60,2,119,247
OTU4013,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Lachnum,Lachnum_sp_SH1522995.08FU,144,16,5,24,8102,42,43,245,0,0,1,35,0,4,2,0,3,0,0,0,0,0,0,77,4,0,0,1573,3,3,89,0,28,168,0,1,0,7,3,6,5,1,0,0,0,0,0,0,57,2,0,0,0,0
OTU2763,Fungi,NA,NA,NA,NA,NA,NA,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2830,Fungi,Basidiomycota,Tremellomycetes,Tremellales,NA,NA,NA,142,626,113,39,51,74,211,287,689,158,55,56,8,50,37,77,111,112,45,31,80,7,374,69,286,86,107,393,49,16,48,52,74,17,123,31,170,129,93,48,167,534,426,1,224,81,107,81,174,5,6,0,3,10
OTU3821,Fungi,Ascomycota,NA,NA,NA,NA,NA,178,55,18,26,33,174,417,142,4,53,46,17,104,576,1027,123,47,154,142,80,182,2,3,23,204,84,274,503,295,2336,2518,73,573,201,9,29,21,44,102,8,86,38,6,23,129,54,62,224,44,67,62,0,1,3
OTU1655,Fungi,Basidiomycota,Agaricomycetes,NA,NA,NA,NA,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,16,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
OTU3457,Fungi,NA,NA,NA,NA,NA,NA,152,346,198,117,97,241,73,122,289,48,31,5,5,12,14,22,13,3,0,5,2,1,34,11,27,12,35,40,16,4,14,18,41,7,266,29,51,111,73,16,28,155,16,1,2,12,116,25,26,5,5,0,10,32
OTU2002,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,NA,NA,NA,46,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
OTU4227,Fungi,Ascomycota,Leotiomycetes,Helotiales,unidentified,unidentified,NA,347,84,163,87,39,301,1569,847,197,44,774,61,161,282,167,711,65,0,129,37,160,10,61,108,318,41,163,187,4,248,143,2,16,13,30,18,57,23,24,19,65,96,27,4,21,17,20,68,23,8,1,0,1,0
OTU2531,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,NA,4,2,0,1,0,3,6,9,7,2,0,0,5,1,0,1,8,2,1,0,0,0,0,16,5,1,2,2,0,2,0,0,1,4,0,0,0,0,0,0,0,14,5,0,7,1,10,0,0,2,6,0,0,12
OTU3029,Fungi,NA,NA,NA,NA,NA,NA,11,5,10,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OTU4299,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Extremaceae,NA,NA,257,0,4,0,56,8,5,0,0,19,0,3,5,0,1,3,4,0,1,0,0,0,0,7,43,0,21,0,0,2,46,2,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU4550,Fungi,NA,NA,NA,NA,NA,NA,321,3,0,0,3,4,1,0,0,0,1,39,1,0,86,8,0,0,9,0,20,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU1590,Fungi,NA,NA,NA,NA,NA,NA,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU4380,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,unidentified,Helotiaceae_sp_SH1652673.08FU,159,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2983,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi_sp_SH1646337.08FU,188,64,13,0,130,211,68,165,54,39,0,21,1,0,0,0,324,0,2,0,0,2,0,4,5,0,1,1,0,3,2,7,5,73,8,55,4,4,0,4,1,3,0,1,651,292,5,1280,88,1,0,0,0,0
OTU3016,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Sagenomella,NA,6,1,0,1,0,0,6,1,7,7,0,0,0,2,0,2,3,3,1,2,0,0,2,3,4,2,2,9,1,0,1,4,0,1,1,0,2,3,0,2,3,11,6,2,1,0,3,0,0,0,0,0,0,0
OTU2951,Fungi,Ascomycota,NA,NA,NA,NA,NA,66,3,3,5,11,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,2,9,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3485,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,NA,107,16,2,21,113,8,630,21,21,18,33,65,1,183,3,27,60,128,4,0,9,140,1,32,111,5,341,31,56,38,332,655,495,2688,5,10,19,381,172,38,45,1,118,51,126,56,1000,32,1862,23,0,0,0,0
